dim,n_samples,n_vines,decreasing,algorithm,seed,loglik_dissmann,time_dissmann,kl_dissmann,loglik_forest,time_forest,kl_forest,prop_better,forest_over_dissmann
20,1000,1,True,jck,10,16297.389721233087,1.9032588005065918,0.7134504896518681,15443.223114257898,1.9104599952697754,1.5676170966270533,0.0,0.947588747548797
20,1000,1,True,wilson,10,16297.389721233087,1.8378562927246094,0.7134504896518681,15301.634738132505,1.7970459461212158,1.709205472752452,0.0,0.9389009528438005
20,1000,1,False,jck,10,25490.85784059385,1.8489203453063965,-inf,24676.88936965061,1.7588386535644531,-inf,0.0,0.9680682197502586
20,1000,1,False,wilson,10,25490.85784059385,1.9004197120666504,-inf,24036.672228305673,1.6695523262023926,-inf,0.0,0.9429526608566148
20,1000,10,True,jck,10,16297.389721233087,1.816852331161499,0.7134504896518681,16049.25409665549,17.856334924697876,0.9615861142294662,0.0,0.9847745173416137
20,1000,10,True,wilson,10,16297.389721233087,1.8395106792449951,0.7134504896518681,15833.645822876195,17.639862298965454,1.1771943880087588,0.0,0.9715448972940309
20,1000,10,False,jck,10,25490.85784059385,1.7652051448822021,-inf,26525.665022619025,18.14784049987793,-inf,0.3,1.0405952278458537
20,1000,10,False,wilson,10,25490.85784059385,1.8619861602783203,-inf,24453.263355583418,17.987027645111084,-inf,0.0,0.9592954269527142
20,1000,100,True,jck,10,16297.389721233087,1.774827241897583,0.7134504896518681,16410.971884864157,189.08320808410645,0.5998683260207938,0.01,1.0069693469674528
20,1000,100,True,wilson,10,16297.389721233087,1.886333703994751,0.7134504896518681,16070.618697406087,192.8360140323639,0.9402215134788675,0.0,0.9860854389748347
20,1000,100,False,jck,10,25490.85784059385,1.9564297199249268,-inf,27464.096232682485,187.59636282920837,-inf,0.19,1.077409650331433
20,1000,100,False,wilson,10,25490.85784059385,1.9531121253967285,-inf,25431.274665812165,191.78338623046875,-inf,0.0,0.9976625669032292
20,1000,500,True,jck,10,16297.389721233087,2.086385488510132,0.7134504896518681,16410.971884864157,962.8140025138855,0.5998683260207938,0.012,1.0069693469674528
20,1000,500,True,wilson,10,16297.389721233087,2.0615780353546143,0.7134504896518681,16184.277133215966,980.9402766227722,0.8265630776689854,0.0,0.9930594659665191
20,1000,500,False,jck,10,25490.85784059385,1.9939804077148438,-inf,27464.096232682485,937.3621611595154,-inf,0.202,1.077409650331433
20,1000,500,False,wilson,10,25490.85784059385,1.8489799499511719,-inf,25431.274665812165,969.3085887432098,-inf,0.0,0.9976625669032292
5,100,1,True,jck,12,349.3463587864819,0.026765108108520508,0.8273083422633136,333.5223859724661,0.021721363067626953,0.9505337840519119,0.0,0.9547040568306386
5,100,1,True,wilson,12,349.3463587864819,0.018277406692504883,0.8273083422633136,341.29333081770005,0.024287700653076172,0.7132581842132968,0.0,0.9769482985402924
5,100,1,False,jck,12,452.2934794403974,0.02054762840270996,1.4508941853656374,409.58402036093804,0.024802684783935547,1.8459314323128229,0.0,0.9055713579326815
5,100,1,False,wilson,12,452.2934794403974,0.020298004150390625,1.4508941853656374,452.98086390440307,0.026393651962280273,1.546147052429205,1.0,1.0015197753123837
5,100,10,True,jck,12,349.3463587864819,0.024670839309692383,0.8273083422633136,346.99757488461285,0.2473621368408203,0.9099696977367225,0.0,0.9932766326518244
